feature,gini_importance,permutation_importance_mean,permutation_importance_std,rank,experiment,model,gain_importance,builtin_importance
CDI_3m_change,0.13684994265777128,-0.01879402477532186,0.0015206706362613177,1,target_20d,RandomForest,,0.13684994265777128
Ibovespa_vol_20d,0.08163628871885106,-0.0030434782608695864,0.0011291654194646018,2,target_20d,RandomForest,,0.08163628871885106
Rolling_vol_60d,0.07158416033710469,-0.007931746417294166,0.0006002131892430951,3,target_20d,RandomForest,,0.07158416033710469
Distance_to_MA200,0.07031656763461869,-0.0016249696380860046,0.0006335518097770046,4,target_20d,RandomForest,,0.07031656763461869
Rank_volume,0.0584867934233291,-0.0020160310905999734,0.0007803519886231098,5,target_20d,RandomForest,,0.0584867934233291
Ibovespa_return_20d,0.056118286122280044,-0.0021459800825844254,0.0007027832826936426,6,target_20d,RandomForest,,0.056118286122280044
Return_60d,0.05442759680515187,-0.0012861306776779436,0.0004988661123968903,7,target_20d,RandomForest,,0.05442759680515187
Rank_volatility_20d,0.054371508999378905,0.0012120476074811593,0.0006824839613201984,8,target_20d,RandomForest,,0.054371508999378905
Rank_momentum_60d,0.05409604865697979,-0.00044571289774107957,0.0006880210696420722,9,target_20d,RandomForest,,0.05409604865697979
Rolling_vol_20d,0.05299964753273971,0.0021216905513723404,0.0006315990412175956,10,target_20d,RandomForest,,0.05299964753273971
ATR_14,0.04797645613626757,0.001921301918872953,0.00027757100249804333,11,target_20d,RandomForest,,0.04797645613626757
Distance_to_MA50,0.043795833137124186,-0.0005635171241195225,0.00043880098645842036,12,target_20d,RandomForest,,0.043795833137124186
Drawdown_60d,0.040563810970881096,-0.0006242409521496461,0.0005829791102125248,13,target_20d,RandomForest,,0.040563810970881096
Return_20d,0.038726891395430424,-0.0005149380616954302,0.0005980406172980221,14,target_20d,RandomForest,,0.038726891395430424
Distance_to_MA20,0.035285441360183765,-0.0013517124119504676,0.00042773202393706154,15,target_20d,RandomForest,,0.035285441360183765
Volume_ratio_5d_20d,0.03442062643658936,-0.0003716298275443453,0.0005012773152358362,16,target_20d,RandomForest,,0.03442062643658936
Return_5d,0.02754557475917803,-0.0009655088656789102,0.00031248885468525273,17,target_20d,RandomForest,,0.02754557475917803
Volume_zscore_20d,0.020914308858092506,-0.00023196502307506472,0.0004476610683607912,18,target_20d,RandomForest,,0.020914308858092506
Return_1d,0.01988421605804804,-0.00018581491377219205,0.00023587436071426384,19,target_20d,RandomForest,,0.01988421605804804
CDI_3m_change,,-0.01755647316006803,0.0017741187329386033,1,target_20d,XGBoost,0.10768318,0.10768318176269531
Ibovespa_vol_20d,,0.0013019188729657294,0.0009598330274502982,2,target_20d,XGBoost,0.081304744,0.08130474388599396
